"","date","ozone","temperature","relative_humidity","numdeaths"
"1",2002-01-01,4.58622455596924,-0.225000008940697,75.6782989501953,199
"2",2002-01-02,4.87685251235962,0.0874999538064003,77.5250015258789,231
"3",2002-01-03,4.70787525177002,0.850000023841858,81.3249969482422,210
"4",2002-01-04,4.13746118545532,0.537500023841858,85.4499969482422,203
"5",2002-01-05,2.00584626197815,4.25,93.5250015258789,224
"6",2002-01-06,2.4014458656311,7.06874990463257,96.4000015258789,198
"7",2002-01-07,4.08294010162354,5.1875,93.5250015258789,180
"8",2002-01-08,3.12757992744446,3.51250004768372,81.5,188
"9",2002-01-09,2.05242013931274,3.22499990463257,88.3249969482422,168
"10",2002-01-10,5.18688726425171,5.32499980926514,85.4000015258789,194
"11",2002-01-11,3.59153890609741,2.99375009536743,92.5999984741211,223
"12",2002-01-12,12.8654432296753,4.76249980926514,94.1750030517578,201
"13",2002-01-13,17.6133708953857,8.18124961853027,91.4250030517578,204
"14",2002-01-14,18.6950168609619,9.29374980926514,89.1750030517578,184
"15",2002-01-15,15.9513788223267,7.23749971389771,82.8249969482422,191
"16",2002-01-16,9.60425090789795,4.23749971389771,83.3249969482422,181
"17",2002-01-17,27.5454540252686,6.51875019073486,88.4250030517578,179
"18",2002-01-18,18.2727279663086,4.64375019073486,83.3249969482422,172
"19",2002-01-19,44.2727279663086,7.11875009536743,70,167
"20",2002-01-20,49.9090919494629,8.93124961853027,85.8000030517578,167
"21",2002-01-21,38.0909080505371,10.8374996185303,81.2249984741211,189
"22",2002-01-22,43.0909080505371,9.04374980926514,71.3250045776367,183
"23",2002-01-23,46.9090919494629,9.28750038146973,83.2249984741211,193
"24",2002-01-24,34.5454559326172,8.5625,76.0250015258789,173
"25",2002-01-25,26,6.61875009536743,80.9499969482422,177
"26",2002-01-26,60.6363639831543,9.24374961853027,84.5500030517578,174
"27",2002-01-27,42.4545440673828,10.4562501907349,90.3000030517578,169
"28",2002-01-28,56.0946426391602,10.3312501907349,61.4749984741211,204
"29",2002-01-29,38.1104202270508,10.90625,77.5250015258789,164
"30",2002-01-30,33.0151557922363,11.1312503814697,82.9750061035156,160
"31",2002-01-31,46.7189636230469,8.48124980926514,72.6999969482422,192
"32",2002-02-01,58.2059593200684,9.85624980926514,78.5500030517578,173
"33",2002-02-02,60.526123046875,12.1812496185303,73.0250015258789,167
"34",2002-02-03,39.263988494873,9.53125,79.5500030517578,180
"35",2002-02-04,44.396785736084,8.05624961853027,89.1750030517578,143
"36",2002-02-05,48.0018844604492,9.58125019073486,76.5500030517578,194
"37",2002-02-06,33.9189949035645,7.25,64.0500030517578,148
"38",2002-02-07,21.5374317169189,6.30000019073486,79.3249969482422,144
"39",2002-02-08,28.5009365081787,9.48750019073486,89.7750015258789,169
"40",2002-02-09,54.1987342834473,10.1374998092651,62.375,171
"41",2002-02-10,55.5718955993652,9.10000038146973,68.75,155
"42",2002-02-11,44.5049896240234,11.03125,86.5,146
"43",2002-02-12,38.9972686767578,11.5,69.5999984741211,141
"44",2002-02-13,22.2712574005127,7.82499980926514,78.5250015258789,150
"45",2002-02-14,32.8290405273438,5.45625019073486,59.0750007629395,177
"46",2002-02-15,16.251823425293,3.5625,72.4000015258789,177
"47",2002-02-16,16.3705768585205,5.11250019073486,70.625,166
"48",2002-02-17,7.4314341545105,3.70624995231628,79.0250015258789,154
"49",2002-02-18,21.726432800293,5.65000009536743,66.25,186
"50",2002-02-19,45.1599235534668,8.33749961853027,68.2249984741211,171
"51",2002-02-20,48.6301574707031,8.14999961853027,59.2749977111816,151
"52",2002-02-21,31.8111705780029,5.19999980926514,65.9000015258789,169
"53",2002-02-22,50.523853302002,9.13125038146973,67.75,185
"54",2002-02-23,57.076244354248,5.55625009536743,74.5500030517578,154
"55",2002-02-24,41.7655372619629,5.75624990463257,84.1750030517578,161
"56",2002-02-25,45.6472282409668,9.20625019073486,88.7249984741211,163
"57",2002-02-26,58.570728302002,9.54374980926514,68.5749969482422,183
"58",2002-02-27,54.7886619567871,5.93125009536743,66.3000030517578,153
"59",2002-02-28,41.1239356994629,6.99375009536743,62.0750007629395,155
"60",2002-03-01,16.3431930541992,3.60625004768372,80.6500015258789,152
"61",2002-03-02,21.506908416748,3.84999990463257,69.4000015258789,165
"62",2002-03-03,17.5643081665039,6.58750009536743,77.8249969482422,162
"63",2002-03-04,22.556173324585,6.9375,68.2249984741211,186
"64",2002-03-05,12.1497650146484,7.93125009536743,68.9000015258789,195
"65",2002-03-06,46.3009986877441,8.58749961853027,75.1500015258789,184
"66",2002-03-07,42.7444610595703,11.6999998092651,54.0250015258789,169
"67",2002-03-08,29.8890552520752,9.48750019073486,69.875,138
"68",2002-03-09,50.5454559326172,7.31874990463257,52.8249969482422,150
"69",2002-03-10,57.1818199157715,6.67500019073486,70.0749969482422,141
"70",2002-03-11,38.0909080505371,9.94375038146973,81.7750015258789,185
"71",2002-03-12,10.9090909957886,8.86250019073486,82.3499984741211,179
"72",2002-03-13,52.5454559326172,6.23749971389771,76.0999984741211,157
"73",2002-03-14,47.0909080505371,5.16874980926514,73.1500015258789,163
"74",2002-03-15,4.42296838760376,6.5625,93.7750015258789,182
"75",2002-03-16,27.6363639831543,10.4750003814697,74.75,177
"76",2002-03-17,37.1818199157715,11.1937503814697,79.3999938964844,206
"77",2002-03-18,54,9.41250038146973,83.7750015258789,164
"78",2002-03-19,34.9090919494629,9.41874980926514,72.5250015258789,156
"79",2002-03-20,33.3636360168457,11.3562498092651,85.7249984741211,180
"80",2002-03-21,36,12.8249998092651,69.4499969482422,168
"81",2002-03-22,25.6363639831543,11.8625001907349,72.8000030517578,135
"82",2002-03-23,41.6363639831543,9.46249961853027,60.5750007629395,166
"83",2002-03-24,38.8181800842285,8.03125,54.4749984741211,151
"84",2002-03-25,29.0047760009766,8.94999980926514,60.4749984741211,165
"85",2002-03-26,37.8718528747559,9.05000019073486,61.6500015258789,158
"86",2002-03-27,27.7272720336914,6.78125,61.8999977111816,165
"87",2002-03-28,19.1818180084229,7.47499990463257,50.2750015258789,161
"88",2002-03-29,20.4545459747314,9.24374961853027,49.4000015258789,170
"89",2002-03-30,41.2727279663086,10.1625003814697,49.7000007629395,161
"90",2002-03-31,52.6363639831543,9.89375019073486,81.25,132
"91",2002-04-01,65,12.0137968063354,64.8499984741211,151
"92",2002-04-02,38.7272720336914,12.6999998092651,57.9000015258789,167
"93",2002-04-03,35.2734413146973,15.6062498092651,40.75,161
"94",2002-04-04,28.8617057800293,12.8312492370605,57,177
"95",2002-04-05,29.8884544372559,11.0187501907349,61.4500007629395,154
"96",2002-04-06,70.4545440673828,8.91874980926514,41.1009635925293,160
"97",2002-04-07,75.9090881347656,8.00625038146973,56.5,135
"98",2002-04-08,62.5454559326172,9.19375038146973,56.5750007629395,180
"99",2002-04-09,53.1818199157715,6.5,69.9749984741211,171
"100",2002-04-10,81.1818161010742,8.5625,45.4249992370605,158
"101",2002-04-11,59.4545440673828,8.08125019073486,48.7750015258789,162
"102",2002-04-12,71.8181838989258,7.68125009536743,49.4000015258789,143
"103",2002-04-13,57.1818199157715,7.18125009536743,57.4000015258789,127
"104",2002-04-14,36,6.875,55.2999992370605,147
"105",2002-04-15,17.5454540252686,8.68124961853027,69.625,153
"106",2002-04-16,35.0909080505371,9.05000019073486,45.5999984741211,146
"107",2002-04-17,47.5454559326172,9.51875019073486,53.75,150
"108",2002-04-18,40.9090919494629,9.125,60.6999969482422,134
"109",2002-04-19,24,9.59375,63.625,150
"110",2002-04-20,31.6363639831543,10.3000001907349,52.5999984741211,152
"111",2002-04-21,58.5454559326172,12.8937501907349,49.8249969482422,178
"112",2002-04-22,51.9090919494629,14.34375,56.9500007629395,147
"113",2002-04-23,35.7272720336914,15.2937498092651,60.5250015258789,174
"114",2002-04-24,22.1938743591309,15.7312498092651,68.0500030517578,151
"115",2002-04-25,37.6257362365723,13.1624994277954,54.5,143
"116",2002-04-26,47.4545440673828,11.3625001907349,85.375,153
"117",2002-04-27,54.3801422119141,9.71249961853027,49.4500007629395,161
"118",2002-04-28,71.355339050293,11.15625,67.875,140
"119",2002-04-29,60.9631118774414,10.0062503814697,56.0499992370605,151
"120",2002-04-30,54.3636360168457,9.86250019073486,88.5749969482422,145
"121",2002-05-01,45.025218963623,10.775785446167,51.4500007629395,127
"122",2002-05-02,25.727165222168,10.1875,55.7000007629395,154
"123",2002-05-03,35.4545440673828,10.4812498092651,57.2750015258789,161
"124",2002-05-04,55,9.10000038146973,58.6500015258789,139
"125",2002-05-05,63.4545440673828,7.63124990463257,54.4749984741211,143
"126",2002-05-06,56.4545440673828,10.7375001907349,75.4749984741211,157
"127",2002-05-07,33.3636360168457,12.6374998092651,76.2249984741211,147
"128",2002-05-08,45.1818199157715,11.3562498092651,75.3499984741211,147
